name,slug,url,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share
Madinat Al Mataar,madinat-al-mataar,https://datadubai.ae/areas/madinat-al-mataar/,16357,ok,1100000.0,1637.47,3.3,59.3,89.9
Al Barsha South Fourth,al-barsha-south-fourth,https://datadubai.ae/areas/al-barsha-south-fourth/,13836,ok,1054237.0,1502.76,7.2,-24.8,64.2
Wadi Al Safa 5,wadi-al-safa-5,https://datadubai.ae/areas/wadi-al-safa-5/,9679,ok,1024944.5,1474.41,8.9,-18.6,84.5
Business Bay,business-bay,https://datadubai.ae/areas/business-bay/,9158,ok,2063749.5,2539.54,6.0,-26.0,61.3
Wadi Al Safa 3,wadi-al-safa-3,https://datadubai.ae/areas/wadi-al-safa-3/,8204,ok,984801.5,1526.61,5.6,74.5,79.9
Jabal Ali First,jabal-ali-first,https://datadubai.ae/areas/jabal-ali-first/,8082,ok,1492000.0,1543.28,18.0,15.4,67.4
Palm Deira,palm-deira,https://datadubai.ae/areas/palm-deira/,5346,ok,2844828.0,2713.53,18.2,64.6,97.7
Dubai Investment Park Second,dubai-investment-park-second,https://datadubai.ae/areas/dubai-investment-park-second/,5186,ok,1450500.0,1498.05,-2.8,-0.9,83.4
Al Barsha South Fifth,al-barsha-south-fifth,https://datadubai.ae/areas/al-barsha-south-fifth/,4967,ok,1159900.0,1658.3,15.2,22.7,85.0
Al Yelayiss 1,al-yelayiss-1,https://datadubai.ae/areas/al-yelayiss-1/,4516,ok,2903000.0,1821.93,64.2,-27.4,76.5
Me'Aisem First,meaisem-first,https://datadubai.ae/areas/meaisem-first/,4322,ok,1040000.0,1355.35,1.9,-20.0,63.2
Al Hebiah First,al-hebiah-first,https://datadubai.ae/areas/al-hebiah-first/,4310,ok,1183674.0,1780.0,-6.1,-22.7,76.7
Madinat Dubai Almelaheyah,madinat-dubai-almelaheyah,https://datadubai.ae/areas/madinat-dubai-almelaheyah/,4228,ok,2476000.0,3095.95,13.6,1.6,98.5
