name,slug,url,n,quality,price_median,psf_median,psf_yoy,price_yoy,n_yoy,offplan_share,yield_pct,rent_median,n_rents,yield_segments,yield_n_rents,yield_n_sales,top_area,share_in_top_area
Jumeirah Village Circle,jumeirah-village-circle,https://datadubai.ae/communities/jumeirah-village-circle/,13836,ok,1054237.0,1502.76,7.1,7.2,-24.4,64.2,6.24,67920.0,29351,6,28653,4534,Al Barsha South Fourth,1.0
Dubai World Central,dubai-world-central,https://datadubai.ae/communities/dubai-world-central/,12384,ok,978000.0,1689.9,2.8,-41.2,43.1,95.6,4.91,100000.0,2894,4,2500,270,Madinat Al Mataar,1.0
Business Bay,business-bay,https://datadubai.ae/communities/business-bay/,8061,ok,1933749.0,2467.08,5.7,31.9,-26.5,56.6,5.73,90000.0,14602,5,14459,2310,Business Bay,0.97
Dubai Land Residence Complex,dubai-land-residence-complex,https://datadubai.ae/communities/dubai-land-residence-complex/,7559,ok,812843.0,1427.82,11.9,7.8,5.4,91.0,7.61,52000.0,7448,3,7259,622,Wadi Al Safa 5,1.0
Majan,majan,https://datadubai.ae/communities/majan/,6285,ok,750000.0,1483.15,8.8,-24.0,142.0,84.6,7.21,58000.0,2974,4,2839,931,Wadi Al Safa 3,1.0
Palm Deira,palm-deira,https://datadubai.ae/communities/palm-deira/,5346,ok,2844828.0,2713.53,18.2,9.8,64.6,97.7,,,3,0,0,0,Palm Deira,1.0
Jumeirah Village Triangle,jumeirah-village-triangle,https://datadubai.ae/communities/jumeirah-village-triangle/,4903,ok,1160483.0,1662.97,14.7,17.1,29.8,85.3,7.22,72000.0,3124,3,2489,457,Al Barsha South Fifth,1.0
Motor City,motor-city,https://datadubai.ae/communities/motor-city/,4310,ok,1183674.0,1780.0,-6.1,0.1,-22.7,76.7,7.77,80000.0,1995,5,1897,933,Al Hebiah First,1.0
Dubai Science Park,dubai-science-park,https://datadubai.ae/communities/dubai-science-park/,4147,ok,1073664.0,1755.43,11.5,-2.4,15.5,95.3,7.11,70000.0,1354,3,1228,178,Al Barshaa South Second,1.0
Arjan,arjan,https://datadubai.ae/communities/arjan/,4070,ok,927130.0,1554.53,14.4,-2.4,12.2,63.6,7.11,63000.0,11230,4,11076,1353,Al Barshaa South Third,1.0
Dubai Creek Harbour,dubai-creek-harbour,https://datadubai.ae/communities/dubai-creek-harbour/,4035,ok,2628286.5,2563.33,6.0,3.1,6.5,67.0,5.66,132000.0,5810,3,5771,1317,Al Khairan First,1.0
International Media Production Zone,international-media-production-zone,https://datadubai.ae/communities/international-media-production-zone/,3588,ok,935347.0,1350.65,1.5,31.9,-25.9,75.4,8.62,47400.0,6663,3,6097,803,Me'Aisem First,1.0
Dubai Sports City,dubai-sports-city,https://datadubai.ae/communities/dubai-sports-city/,3526,ok,946197.0,1307.38,17.0,14.0,9.8,61.4,7.78,52000.0,8658,4,8229,1226,Al Hebiah Fourth,1.0
Dubai Maritime City,dubai-maritime-city,https://datadubai.ae/communities/dubai-maritime-city/,3509,ok,2485600.0,3160.4,12.8,-2.3,21.1,98.9,5.38,100000.0,132,1,42,15,Madinat Dubai Almelaheyah,1.0
Dubai South Residential District,dubai-south-residential-district,https://datadubai.ae/communities/dubai-south-residential-district/,3364,ok,1192828.0,1337.08,20.5,18.1,108.4,67.2,5.95,55000.0,4494,8,4454,1049,Madinat Al Mataar,1.0
DownTown Dubai,downtown-dubai,https://datadubai.ae/communities/downtown-dubai/,2971,ok,2926262.0,3026.16,10.9,0.9,-25.6,35.5,5.24,145000.0,9139,4,9024,1739,Burj Khalifa,0.99
Al Furjan,al-furjan,https://datadubai.ae/communities/al-furjan/,2797,ok,1431320.0,1399.0,7.8,1.6,-32.9,50.9,6.42,80000.0,6689,6,6396,1025,Jabal Ali First,1.0
Down Town Jabal Ali,down-town-jabal-ali,https://datadubai.ae/communities/down-town-jabal-ali/,2718,ok,732582.0,1659.01,27.1,-24.9,195.8,94.0,8.66,51000.0,938,2,807,136,Jabal Ali Industrial Second,1.0
Silicon Oasis,silicon-oasis,https://datadubai.ae/communities/silicon-oasis/,2597,ok,970000.0,1239.23,-4.9,12.4,-29.8,46.7,7.39,55650.0,16457,4,15376,1205,Nadd Hessa,0.96
City Of Arabia,city-of-arabia,https://datadubai.ae/communities/city-of-arabia/,2594,ok,609000.0,1689.15,12.1,-21.7,618.6,97.8,,52500.0,18,0,0,0,Wadi Al Safa 4,1.0
Dubai Hills Estate,dubai-hills-estate,https://datadubai.ae/communities/dubai-hills-estate/,2549,ok,2126944.0,2391.16,-0.7,2.7,-51.0,61.5,6.12,115000.0,4535,4,4527,916,Hadaeq Sheikh Mohammed Bin Rashid,1.0
Dubai Marina,dubai-marina,https://datadubai.ae/communities/dubai-marina/,2523,ok,2007756.0,1990.43,-6.3,1.7,-52.6,10.5,5.71,112000.0,13683,5,13618,1860,Marsa Dubai,1.0
TOWN SQUARE,town-square,https://datadubai.ae/communities/town-square/,2266,ok,1413388.0,1514.32,13.9,7.2,-14.7,54.1,6.2,88900.0,6192,6,6182,1037,Al Yelayiss 2,1.0
DAMAC Lagoons,damac-lagoons,https://datadubai.ae/communities/damac-lagoons/,2232,ok,1278000.0,1841.74,,-56.4,148.8,68.1,,155000.0,472,0,0,0,Al Hebiah Fifth,1.0
Wasl Gate,wasl-gate,https://datadubai.ae/communities/wasl-gate/,2008,ok,1349000.0,1524.75,16.0,1.0,41.5,96.2,7.18,78000.0,468,1,227,34,Jabal Ali First,1.0
Meydan Racecourse Community,meydan-racecourse-community,https://datadubai.ae/communities/meydan-racecourse-community/,1996,ok,1416000.0,3510.36,129.2,-29.9,357.8,89.4,5.76,97000.0,1778,2,1671,167,Nad Al Shiba First,1.0
DAMAC HILLS,damac-hills,https://datadubai.ae/communities/damac-hills/,1947,ok,1317560.0,1669.58,27.7,-8.1,20.5,51.9,6.83,70000.0,4194,4,3039,510,Al Hebiah Third,1.0
DMCC-EZ2,dmcc-ez2,https://datadubai.ae/communities/dmcc-ez2/,1928,ok,2122248.0,2975.0,4.8,10.8,335.2,99.7,,26000.0,83,0,0,0,Jabal Ali First,1.0
