community,community_slug,code,label,slug,n,quality,price_median,psf_median,sqft_median,rent_median,n_rents,yield_pct,url
Jumeirah Village Circle,jumeirah-village-circle,Studio,Studios,studio,4193,ok,715258.0,1753.06,407.09,48000.0,7498,7.87,https://datadubai.ae/communities/jumeirah-village-circle/studio/
Jumeirah Village Circle,jumeirah-village-circle,1 B/R,1-bedroom apartments,1-bedroom,6981,ok,1124681.0,1453.52,775.11,70000.0,15358,7.0,https://datadubai.ae/communities/jumeirah-village-circle/1-bedroom/
Jumeirah Village Circle,jumeirah-village-circle,2 B/R,2-bedroom apartments,2-bedroom,1621,ok,1650677.5,1315.61,1234.19,95000.0,4673,6.33,https://datadubai.ae/communities/jumeirah-village-circle/2-bedroom/
Jumeirah Village Circle,jumeirah-village-circle,3 B/R,3-bedroom apartments,3-bedroom,293,ok,2453040.0,1574.73,1566.47,150000.0,883,5.68,https://datadubai.ae/communities/jumeirah-village-circle/3-bedroom/
Jumeirah Village Circle,jumeirah-village-circle,4 B/R,4-bedroom apartments,4-bedroom,108,ok,3575000.0,1617.06,2034.54,200000.0,387,5.71,https://datadubai.ae/communities/jumeirah-village-circle/4-bedroom/
Jumeirah Village Circle,jumeirah-village-circle,5 B/R,5-bedroom apartments,5-bedroom,2,insufficient,,,,205000.0,34,,
Dubai World Central,dubai-world-central,Studio,Studios,studio,5880,ok,650000.0,1762.84,365.43,54000.0,97,,https://datadubai.ae/communities/dubai-world-central/studio/
Dubai World Central,dubai-world-central,1 B/R,1-bedroom apartments,1-bedroom,3328,ok,1180000.0,1601.85,740.23,67750.0,280,,https://datadubai.ae/communities/dubai-world-central/1-bedroom/
Dubai World Central,dubai-world-central,2 B/R,2-bedroom apartments,2-bedroom,1495,ok,2010888.0,1706.1,1153.68,86000.0,847,5.46,https://datadubai.ae/communities/dubai-world-central/2-bedroom/
Dubai World Central,dubai-world-central,3 B/R,3-bedroom apartments,3-bedroom,589,ok,2910888.0,1596.98,1856.56,110000.0,1200,4.83,https://datadubai.ae/communities/dubai-world-central/3-bedroom/
Dubai World Central,dubai-world-central,4 B/R,4-bedroom apartments,4-bedroom,434,ok,4390000.0,1256.69,3422.17,145000.0,453,4.5,https://datadubai.ae/communities/dubai-world-central/4-bedroom/
