name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Binghatti Developers Fze,binghatti-developers-fze,https://datadubai.ae/developers/binghatti-developers-fze/,1051,17145,ok,1190999.0,1905.08,11.6,44.4,90.9,79,46494,38
Azizi Developments L.L.C,azizi-developments-l-l-c,https://datadubai.ae/developers/azizi-developments-l-l-c/,1002,15537,ok,676000.0,1704.64,0.8,113.9,86.6,150,58893,59
Emaar Development P.J.S.C.,emaar-development-p-j-s-c,https://datadubai.ae/developers/emaar-development-p-j-s-c/,1211,6811,ok,4684888.0,2213.81,39.7,-25.5,38.6,113,42383,58
Sobha L.L.C,sobha-l-l-c,https://datadubai.ae/developers/sobha-l-l-c/,966,6653,ok,2033065.0,2524.99,13.5,-44.2,83.6,46,38608,29
Danube Properties Development L.L.C,danube-properties-development-l-l-c,https://datadubai.ae/developers/danube-properties-development-l-l-c/,1009,4714,ok,1397000.0,2176.03,11.9,4.1,84.6,42,27520,23
Damac Prime Development L.L.C,damac-prime-development-l-l-c,https://datadubai.ae/developers/damac-prime-development-l-l-c/,2464,3475,ok,2903000.0,1821.93,,,99.4,10,4659,10
Damac Mry Investment L.L.C,damac-mry-investment-l-l-c,https://datadubai.ae/developers/damac-mry-investment-l-l-c/,1866,3134,ok,1215000.0,1465.59,-5.7,-16.4,100.0,18,7403,18
Dubai Creek Harbour L.L.C,dubai-creek-harbour-l-l-c,https://datadubai.ae/developers/dubai-creek-harbour-l-l-c/,1224,2966,ok,2513194.0,2592.71,5.7,22.0,86.3,27,9840,15
Island Oasis Properties,island-oasis-properties,https://datadubai.ae/developers/island-oasis-properties/,921,2946,ok,1382250.0,1828.83,6.0,0.8,59.4,36,16095,27
Ellington Properties Development L.L.C,ellington-properties-development-l-l-c,https://datadubai.ae/developers/ellington-properties-development-l-l-c/,1117,2474,ok,2159328.0,2288.38,29.7,184.7,87.9,34,6624,18
Dubai Hills Estate L.L.C,dubai-hills-estate-l-l-c,https://datadubai.ae/developers/dubai-hills-estate-l-l-c/,984,2409,ok,2445000.0,2388.85,-0.7,-51.1,57.7,56,20671,20
Tiger Properties,tiger-properties,https://datadubai.ae/developers/tiger-properties/,581,2063,ok,811326.0,1543.32,14.8,-27.0,78.2,26,12255,10
Damac Crescent Properties,damac-crescent-properties,https://datadubai.ae/developers/damac-crescent-properties/,954,1942,ok,1317000.0,1669.58,27.7,22.4,52.1,59,11900,16
Deyaar Development (P.J.S.C),deyaar-development-p-j-s-c,https://datadubai.ae/developers/deyaar-development-p-j-s-c/,15,1922,ok,1400000.0,1406.6,9.7,-16.5,70.0,40,11819,12
Nshama Properties Owned By Nshmi Development One Person Company L.L.C,nshama-properties-owned-by-nshmi-development-one-person-company-l-l-c,https://datadubai.ae/developers/nshama-properties-owned-by-nshmi-development-one-person-company-l-l-c/,1162,1851,ok,1429444.0,1583.15,14.0,-12.6,66.5,38,9188,24
Hre Real Estate Development L.L.C,hre-real-estate-development-l-l-c,https://datadubai.ae/developers/hre-real-estate-development-l-l-c/,1669,1849,ok,1269994.0,1689.47,5.8,48.0,99.9,6,5599,5
Samana International Real Estate Development L.L.C,samana-international-real-estate-development-l-l-c,https://datadubai.ae/developers/samana-international-real-estate-development-l-l-c/,1229,1756,ok,849055.0,1579.54,8.6,-31.8,94.9,19,7491,14
Emaar Dubai South Dwc Llc,emaar-dubai-south-dwc-llc,https://datadubai.ae/developers/emaar-dubai-south-dwc-llc/,1155,1569,ok,1690888.0,1609.01,10.3,-55.2,79.0,38,9611,26
Dubai South Properties Dwc Llc,dubai-south-properties-dwc-llc,https://datadubai.ae/developers/dubai-south-properties-dwc-llc/,1142,1522,ok,4151564.0,1348.0,10.8,107.4,80.5,32,5672,19
Front Line Investment Management L.L.C,front-line-investment-management-l-l-c,https://datadubai.ae/developers/front-line-investment-management-l-l-c/,1021,1373,ok,1650000.0,1142.25,-5.8,-73.4,5.0,46,16508,13
Emaar Properties (P.J.S.C),emaar-properties-p-j-s-c,https://datadubai.ae/developers/emaar-properties-p-j-s-c/,555,1361,ok,3762500.0,2096.7,5.2,-28.4,5.9,68,18990,16
Reportage Plus A Real Estate Development L.L.C,reportage-plus-a-real-estate-development-l-l-c,https://datadubai.ae/developers/reportage-plus-a-real-estate-development-l-l-c/,1936,1359,ok,1159040.5,1227.71,,,99.8,16,4248,16
Iman Developers L.L.C,iman-developers-l-l-c,https://datadubai.ae/developers/iman-developers-l-l-c/,1178,1330,ok,1282975.0,1712.86,6.7,-21.1,88.9,17,4614,9
Samana Signature Real Estate Developments L.L.C,samana-signature-real-estate-developments-l-l-c,https://datadubai.ae/developers/samana-signature-real-estate-developments-l-l-c/,1598,1299,ok,1013894.0,1607.28,2.3,-25.4,100.0,12,4236,12
Select Global Development L.L.C,select-global-development-l-l-c,https://datadubai.ae/developers/select-global-development-l-l-c/,972,1188,ok,2080000.0,2655.64,3.0,7.8,55.4,19,8287,5
Imtiaz Ja Real Estate Development L.L.C,imtiaz-ja-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-ja-real-estate-development-l-l-c/,2717,1117,ok,879905.0,1759.88,,,99.9,3,2014,3
Jag Development L.L.C,jag-development-l-l-c,https://datadubai.ae/developers/jag-development-l-l-c/,1233,1099,ok,1628000.0,1537.74,19.4,6.1,93.0,15,4678,12
Dhre 2 Bts L.L.C,dhre-2-bts-l-l-c,https://datadubai.ae/developers/dhre-2-bts-l-l-c/,1510,1086,ok,5095000.0,3646.27,7.5,0.4,90.2,11,4100,11
Dwtc Emaar L.L.C,dwtc-emaar-l-l-c,https://datadubai.ae/developers/dwtc-emaar-l-l-c/,1237,1082,ok,1709388.0,2148.75,2.6,17.0,100.0,3,2389,3
The Lagoons Phase One L.L.C,the-lagoons-phase-one-l-l-c,https://datadubai.ae/developers/the-lagoons-phase-one-l-l-c/,1038,1069,ok,2700000.0,2402.27,4.5,-21.1,13.2,21,10494,2
Reportage Prime Properties L.L.C,reportage-prime-properties-l-l-c,https://datadubai.ae/developers/reportage-prime-properties-l-l-c/,1277,1044,ok,1557000.0,1396.18,5.2,-26.5,95.0,10,5196,9
Imtiaz Cove Real Estate Development L.L.C,imtiaz-cove-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-cove-real-estate-development-l-l-c/,2275,1015,ok,785824.0,1618.99,10.2,1437.9,100.0,3,1125,3
Majid Al Futtaim Ghaf Woods L.L.C,majid-al-futtaim-ghaf-woods-l-l-c,https://datadubai.ae/developers/majid-al-futtaim-ghaf-woods-l-l-c/,1441,1000,ok,2566500.0,2000.01,8.0,-53.5,100.0,6,3222,6
Aurora Spv 3 L.L.C,aurora-spv-3-l-l-c,https://datadubai.ae/developers/aurora-spv-3-l-l-c/,1657,957,ok,2201070.0,1631.9,9.0,-23.1,91.7,6,2735,6
Object One Real Estate Development L.L.C,object-one-real-estate-development-l-l-c,https://datadubai.ae/developers/object-one-real-estate-development-l-l-c/,1579,920,ok,1139072.0,1512.78,7.3,23.3,97.8,14,3861,12
Ellington Pcfc Developers L.L.C,ellington-pcfc-developers-l-l-c,https://datadubai.ae/developers/ellington-pcfc-developers-l-l-c/,2371,890,ok,2250328.0,2513.75,,,100.0,2,1542,2
Clear Vision Real Estate Development L.L.C,clear-vision-real-estate-development-l-l-c,https://datadubai.ae/developers/clear-vision-real-estate-development-l-l-c/,1806,845,ok,1075950.0,1324.48,22.0,193.4,94.4,7,1309,4
London Gate Real Estate Development L.L.C,london-gate-real-estate-development-l-l-c,https://datadubai.ae/developers/london-gate-real-estate-development-l-l-c/,1596,820,ok,1462640.0,2372.64,-6.7,-23.4,92.4,9,2629,5
Citywalk Residential 1 L.L.C,citywalk-residential-1-l-l-c,https://datadubai.ae/developers/citywalk-residential-1-l-l-c/,1109,808,ok,3559000.0,3221.13,6.4,-15.0,73.8,26,4755,11
Damac Elite Investment Co. L.L.C,damac-elite-investment-co-l-l-c,https://datadubai.ae/developers/damac-elite-investment-co-l-l-c/,2035,803,ok,2829000.0,,,-85.9,0.0,20,9930,20
Leos Development L.L.C,leos-development-l-l-c,https://datadubai.ae/developers/leos-development-l-l-c/,1494,771,ok,1016649.0,1328.44,3.6,7.7,96.2,8,1802,6
Peace Homes Development L.L.C,peace-homes-development-l-l-c,https://datadubai.ae/developers/peace-homes-development-l-l-c/,1745,770,ok,789181.5,1536.07,-2.2,-2.3,100.0,5,2349,5
Damac Crest Development L.L.C,damac-crest-development-l-l-c,https://datadubai.ae/developers/damac-crest-development-l-l-c/,2117,753,ok,2602510.0,3149.48,1.7,81.4,100.0,2,1661,2
Continental Investments Lmd L.L.C,continental-investments-lmd-l-l-c,https://datadubai.ae/developers/continental-investments-lmd-l-l-c/,958,736,ok,1038649.5,1570.03,6.2,-45.5,53.1,10,3450,4
