entity,month,label,n,median,q1,q3,price,n_sales
Dubai,2016-09,Sep 2016,1714,989.39,770.01,1373.55,1100000.0,2213
Dubai,2016-10,Oct 2016,2196,1026.65,831.61,1393.23,1100000.0,3155
Dubai,2016-11,Nov 2016,2397,971.83,756.43,1333.54,1100000.0,3603
Dubai,2016-12,Dec 2016,2266,1083.6,810.0,1386.02,1100000.0,3149
Dubai,2017-01,Jan 2017,3178,1060.96,787.28,1492.22,1196126.0,4369
Dubai,2017-02,Feb 2017,3261,1104.51,773.82,1480.84,1350000.0,4145
Dubai,2017-03,Mar 2017,3717,994.82,742.57,1440.79,1289888.0,4772
Dubai,2017-04,Apr 2017,3108,1117.21,833.2,1408.92,1200000.0,4387
Dubai,2017-05,May 2017,3072,1000.0,813.96,1371.63,1160000.0,4273
Dubai,2017-06,Jun 2017,1820,997.86,777.51,1339.3,1150000.0,2403
Dubai,2017-07,Jul 2017,2968,1099.16,836.81,1442.8,1137500.0,3772
Dubai,2017-08,Aug 2017,3425,1113.17,830.96,1472.32,1200000.0,4170
Dubai,2017-09,Sep 2017,2125,1091.24,842.33,1450.87,1315888.0,2683
Dubai,2017-10,Oct 2017,2966,1033.16,750.0,1384.56,1045000.0,3736
Dubai,2017-11,Nov 2017,2393,1121.96,842.98,1439.81,1075000.0,3095
Dubai,2017-12,Dec 2017,2705,1244.86,879.18,1512.61,1138888.0,3613
Dubai,2018-01,Jan 2018,2352,1198.26,893.13,1492.86,1123188.5,3150
Dubai,2018-02,Feb 2018,2264,1219.51,908.77,1509.64,935000.0,2725
Dubai,2018-03,Mar 2018,1958,1154.4,882.98,1487.45,1107553.5,2608
Dubai,2018-04,Apr 2018,2045,1188.53,890.49,1527.04,1252747.0,2763
Dubai,2018-05,May 2018,2681,1166.32,850.0,1488.71,1014896.0,3318
Dubai,2018-06,Jun 2018,1622,1064.69,765.91,1458.59,1166330.0,2149
Dubai,2018-07,Jul 2018,2145,1091.71,774.1,1499.75,1248888.0,2724
Dubai,2018-08,Aug 2018,1137,1001.67,737.98,1451.73,1154900.0,1483
Dubai,2018-09,Sep 2018,1734,910.84,774.35,1329.99,1020888.0,2367
Dubai,2018-10,Oct 2018,2493,948.12,798.62,1432.18,1095497.5,3198
Dubai,2018-11,Nov 2018,2025,1045.7,806.17,1500.0,1141673.0,2528
Dubai,2018-12,Dec 2018,1925,1011.13,746.84,1474.49,1144888.0,2367
Dubai,2019-01,Jan 2019,1624,989.49,733.71,1402.32,990670.0,2095
Dubai,2019-02,Feb 2019,2308,1025.0,786.7,1530.17,1344444.0,2856
Dubai,2019-03,Mar 2019,2131,1057.09,758.37,1500.22,1092888.0,2603
Dubai,2019-04,Apr 2019,2464,989.17,714.9,1452.74,1056144.0,3166
Dubai,2019-05,May 2019,2538,1161.53,799.09,1604.73,1114552.0,3133
Dubai,2019-06,Jun 2019,1680,1136.73,799.43,1608.92,1230000.0,2011
Dubai,2019-07,Jul 2019,3234,1025.2,721.56,1484.89,1289500.0,3810
Dubai,2019-08,Aug 2019,1676,931.99,668.52,1508.19,1298444.0,2126
Dubai,2019-09,Sep 2019,2401,945.71,689.31,1432.65,1091888.0,2956
Dubai,2019-10,Oct 2019,3834,933.14,671.11,1490.17,1254944.0,4524
Dubai,2019-11,Nov 2019,2385,1005.79,703.42,1605.51,1248444.0,2934
Dubai,2019-12,Dec 2019,3415,1075.75,762.69,1546.81,1294888.0,4014
Dubai,2020-01,Jan 2020,1970,961.64,674.41,1471.81,1150000.0,2518
Dubai,2020-02,Feb 2020,2937,989.08,723.79,1535.91,1200000.0,3629
Dubai,2020-03,Mar 2020,2405,1063.22,757.2,1620.0,1209292.0,2989
Dubai,2020-04,Apr 2020,1286,1317.58,879.33,1672.87,1348888.0,1561
Dubai,2020-05,May 2020,1047,1174.35,850.73,1640.12,1160757.0,1247
Dubai,2020-06,Jun 2020,1695,992.0,708.41,1563.26,1124819.0,2170
Dubai,2020-07,Jul 2020,1835,909.35,669.24,1307.56,1100000.0,2419
Dubai,2020-08,Aug 2020,1604,903.51,642.43,1215.69,1100000.0,2199
Dubai,2020-09,Sep 2020,2260,919.49,633.28,1358.64,1140888.0,3075
Dubai,2020-10,Oct 2020,2785,891.88,680.76,1210.63,1315811.0,3602
Dubai,2020-11,Nov 2020,2693,919.64,685.15,1277.75,1250000.0,3810
Dubai,2020-12,Dec 2020,2586,935.03,690.6,1224.02,1125000.0,3447
Dubai,2021-01,Jan 2021,2315,949.43,707.66,1252.97,1227944.0,3050
Dubai,2021-02,Feb 2021,2498,929.02,650.15,1287.86,1175562.5,3356
Dubai,2021-03,Mar 2021,3606,1000.15,730.44,1440.95,1335504.0,4771
Dubai,2021-04,Apr 2021,3544,1001.47,707.8,1380.12,1326000.0,4539
Dubai,2021-05,May 2021,3148,1000.78,760.97,1460.5,1350000.0,4158
Dubai,2021-06,Jun 2021,4639,1044.05,788.01,1521.15,1368000.0,5989
Dubai,2021-07,Jul 2021,3312,1097.87,842.98,1650.32,1460875.0,4281
Dubai,2021-08,Aug 2021,4161,1099.69,818.55,1650.04,1560000.0,5475
Dubai,2021-09,Sep 2021,4401,1070.64,767.0,1612.26,1500000.0,5562
Dubai,2021-10,Oct 2021,3670,1119.61,765.84,1600.34,1497888.0,4885
Dubai,2021-11,Nov 2021,5432,1229.94,856.08,1655.76,1671386.0,7002
Dubai,2021-12,Dec 2021,4195,1207.99,825.06,1758.74,1668800.0,5333
Dubai,2022-01,Jan 2022,4135,1252.2,881.71,1787.64,1560500.0,5490
Dubai,2022-02,Feb 2022,4437,1200.0,840.06,1661.44,1485888.0,6016
Dubai,2022-03,Mar 2022,5856,1339.03,878.86,1846.67,1600000.0,8140
Dubai,2022-04,Apr 2022,5071,1252.97,839.92,1806.95,1566888.0,6695
Dubai,2022-05,May 2022,4972,1400.67,896.22,1952.8,1609694.0,6332
Dubai,2022-06,Jun 2022,6315,1305.25,881.08,1923.62,1626957.0,8460
Dubai,2022-07,Jul 2022,5295,1305.29,874.46,1871.76,1569000.0,7003
Dubai,2022-08,Aug 2022,7146,1247.48,889.2,1866.32,1507024.0,9272
Dubai,2022-09,Sep 2022,6967,1308.64,921.49,1946.93,1498000.0,8435
Dubai,2022-10,Oct 2022,7052,1495.58,936.75,2109.24,1652584.0,8328
Dubai,2022-11,Nov 2022,8939,1526.44,1003.93,1990.88,1660600.0,10965
Dubai,2022-12,Dec 2022,7172,1552.79,970.08,2064.85,1600000.0,8769
Dubai,2023-01,Jan 2023,7756,1511.58,1057.85,2050.33,1656000.0,9420
Dubai,2023-02,Feb 2023,7516,1284.08,964.16,1881.8,1478505.0,9130
Dubai,2023-03,Mar 2023,9711,1325.88,971.54,1925.03,1500000.0,11574
Dubai,2023-04,Apr 2023,6431,1360.5,995.93,2015.5,1426590.0,7805
Dubai,2023-05,May 2023,9544,1385.53,977.56,2035.11,1525000.0,11386
Dubai,2023-06,Jun 2023,8653,1492.31,1031.25,2142.15,1584888.0,10294
Dubai,2023-07,Jul 2023,8440,1444.38,1024.26,2027.82,1640888.0,10824
Dubai,2023-08,Aug 2023,9825,1466.06,1013.58,2060.93,1569000.0,11553
Dubai,2023-09,Sep 2023,11103,1476.6,1088.32,2018.78,1490032.0,13290
Dubai,2023-10,Oct 2023,9697,1507.7,1099.77,2007.62,1500000.0,11741
Dubai,2023-11,Nov 2023,9212,1457.17,1078.49,2014.88,1606000.0,11887
Dubai,2023-12,Dec 2023,9121,1555.27,1091.33,2153.27,1500000.0,11035
Dubai,2024-01,Jan 2024,9360,1622.1,1128.52,2195.39,1514000.0,10956
Dubai,2024-02,Feb 2024,10011,1544.22,1119.79,2260.0,1489054.0,11750
Dubai,2024-03,Mar 2024,11055,1490.55,1146.73,2121.63,1450000.0,13005
Dubai,2024-04,Apr 2024,9990,1570.68,1169.67,2264.66,1450000.0,11404
Dubai,2024-05,May 2024,14840,1610.62,1208.87,2149.99,1528576.0,17120
Dubai,2024-06,Jun 2024,11258,1509.68,1182.29,2124.24,1545888.0,13845
Dubai,2024-07,Jul 2024,13754,1546.45,1193.31,2287.7,1637354.5,16140
Dubai,2024-08,Aug 2024,13910,1516.01,1211.25,2250.01,1679888.0,15749
Dubai,2024-09,Sep 2024,15437,1576.26,1228.16,2169.08,1581961.0,17533
Dubai,2024-10,Oct 2024,17753,1609.51,1264.06,2092.67,1583194.0,20207
Dubai,2024-11,Nov 2024,12380,1527.47,1205.17,2059.13,1449064.0,14074
Dubai,2024-12,Dec 2024,12930,1597.21,1257.18,2163.54,1430000.0,15248
Dubai,2025-01,Jan 2025,10743,1607.61,1268.13,2120.2,1700000.0,13628
Dubai,2025-02,Feb 2025,12727,1566.2,1272.62,2130.8,1700000.0,15704
Dubai,2025-03,Mar 2025,12615,1637.48,1310.9,2291.38,1621816.0,15015
Dubai,2025-04,Apr 2025,14346,1611.9,1308.82,2327.38,1629600.0,17577
Dubai,2025-05,May 2025,14454,1664.57,1313.0,2287.97,1670000.0,18267
Dubai,2025-06,Jun 2025,13198,1706.03,1363.47,2258.15,1595768.0,16230
Dubai,2025-07,Jul 2025,16595,1699.45,1366.43,2313.93,1500000.0,19827
Dubai,2025-08,Aug 2025,15942,1738.07,1387.43,2355.5,1480000.0,18060
Dubai,2025-09,Sep 2025,17704,1699.97,1405.37,2288.09,1400000.0,20020
Dubai,2025-10,Oct 2025,17300,1694.13,1384.76,2224.79,1437499.0,19565
Dubai,2025-11,Nov 2025,16344,1754.32,1397.06,2368.95,1545985.0,18182
Dubai,2025-12,Dec 2025,16979,1807.36,1431.5,2257.1,1474717.0,18792
Dubai,2026-01,Jan 2026,13825,1787.12,1404.56,2310.41,1851840.0,16407
Dubai,2026-02,Feb 2026,14176,1756.98,1407.6,2329.19,1690595.0,16688
Dubai,2026-03,Mar 2026,11930,1731.12,1416.47,2270.57,1655000.0,13634
Dubai,2026-04,Apr 2026,12199,1825.45,1440.14,2465.46,1691444.0,13792
Dubai,2026-05,May 2026,9206,1638.99,1348.65,2036.46,1219944.0,10138
Dubai,2026-06,Jun 2026,12038,1692.06,1410.01,2012.21,1159290.0,13541
Dubai,2026-07,Jul 2026,12072,1690.76,1400.98,1987.15,1159000.0,13479
Dubai,2026-08,Aug 2026,10569,1693.52,1425.27,1930.45,1207334.0,11890
