entity,year,n,price_median,psf_median,value_total
Dubai,2010,34113,1061200.0,883.04,56436639016.0
Dubai,2011,28439,1056800.0,832.97,51405372066.0
Dubai,2012,36479,1100000.0,901.3,65344042176.0
Dubai,2013,64515,1284361.5,975.65,130156694554.0
Dubai,2014,56015,1350000.0,1107.14,125219396949.0
Dubai,2015,42883,1334888.0,1022.12,109326567235.0
Dubai,2016,42693,1230819.0,1032.75,98540837469.0
Dubai,2017,46233,1200000.0,1082.43,102818267294.0
Dubai,2018,32198,1124209.0,1097.18,67044259719.0
Dubai,2019,36941,1200000.0,1011.18,70944940662.0
Dubai,2020,33314,1200000.0,949.66,62224704538.0
Dubai,2021,59534,1444888.0,1062.11,133449121780.0
Dubai,2022,95819,1575000.0,1354.18,225177966503.0
Dubai,2023,132533,1539000.0,1434.67,338738144394.0
Dubai,2024,180363,1533600.0,1563.56,450159908880.0
Dubai,2025,215386,1549955.0,1689.94,571558913812.0
Dubai,2026,112186,1430000.0,1719.22,296607257250.0
