name,url,contracts,rent_median,yield_pct
Jumeirah Village Circle,https://datadubai.ae/communities/jumeirah-village-circle/,29351,67920.0,6.24
International City Phase 1,https://datadubai.ae/communities/international-city-phase-1/,22564,36500.0,8.21
Silicon Oasis,https://datadubai.ae/communities/silicon-oasis/,16457,55650.0,7.39
Business Bay,https://datadubai.ae/communities/business-bay/,14602,90000.0,5.73
Discovery Gardens,https://datadubai.ae/communities/discovery-gardens/,13859,50578.0,7.56
Dubai Marina,https://datadubai.ae/communities/dubai-marina/,13683,112000.0,5.71
Arjan,https://datadubai.ae/communities/arjan/,11230,63000.0,7.11
International City Phase 3,https://datadubai.ae/communities/international-city-phase-3/,9286,45000.0,7.47
DownTown Dubai,https://datadubai.ae/communities/downtown-dubai/,9139,145000.0,5.24
Dubai Sports City,https://datadubai.ae/communities/dubai-sports-city/,8658,52000.0,7.78
Dubai Land Residence Complex,https://datadubai.ae/communities/dubai-land-residence-complex/,7448,52000.0,7.61
Al Furjan,https://datadubai.ae/communities/al-furjan/,6689,80000.0,6.42
International Media Production Zone,https://datadubai.ae/communities/international-media-production-zone/,6663,47400.0,8.62
Meydan One Community,https://datadubai.ae/communities/meydan-one-community/,6224,56000.0,5.91
TOWN SQUARE,https://datadubai.ae/communities/town-square/,6192,88900.0,6.2
Dubai Creek Harbour,https://datadubai.ae/communities/dubai-creek-harbour/,5810,132000.0,5.66
DAMAC HILLS 2,https://datadubai.ae/communities/damac-hills-2/,5352,90000.0,7.98
Barsha Heights,https://datadubai.ae/communities/barsha-heights/,5309,78000.0,5.87
DMCC Master Community,https://datadubai.ae/communities/dmcc-master-community/,4782,85000.0,6.62
Dubai Hills Estate,https://datadubai.ae/communities/dubai-hills-estate/,4535,115000.0,6.12
Dubai South Residential District,https://datadubai.ae/communities/dubai-south-residential-district/,4494,55000.0,5.95
SOBHA HARTLAND,https://datadubai.ae/communities/sobha-hartland/,4317,100000.0,5.98
DAMAC HILLS,https://datadubai.ae/communities/damac-hills/,4194,70000.0,6.83
Palm Jumeirah,https://datadubai.ae/communities/palm-jumeirah/,4053,204750.0,5.34
Dubai Investment Park First,https://datadubai.ae/communities/dubai-investment-park-first/,3585,62850.0,4.01
The Greens,https://datadubai.ae/communities/the-greens/,3515,110500.0,6.12
Jumeirah Garden City,https://datadubai.ae/communities/jumeirah-garden-city/,3400,78450.77,4.86
Liwan1,https://datadubai.ae/communities/liwan1/,3332,54000.0,7.64
Jumeirah Lakes Towers,https://datadubai.ae/communities/jumeirah-lakes-towers/,3161,88000.0,6.78
Jumeirah Village Triangle,https://datadubai.ae/communities/jumeirah-village-triangle/,3124,72000.0,7.22
Jumeriah Beach Residence - JBR,https://datadubai.ae/communities/jumeriah-beach-residence-jbr/,3004,136855.0,5.84
