name,url,yield_pct,segments,contracts_used,ready_sales_used,price_median
Al Barari,https://datadubai.ae/communities/al-barari/,10.32,2,76,96,5065120.0
Down Town Jabal Ali,https://datadubai.ae/communities/down-town-jabal-ali/,8.66,2,807,136,732582.0
International Media Production Zone,https://datadubai.ae/communities/international-media-production-zone/,8.62,3,6097,803,935347.0
Dubai Investment Park Second,https://datadubai.ae/communities/dubai-investment-park-second/,8.38,3,2250,211,610000.0
International City Phase 1,https://datadubai.ae/communities/international-city-phase-1/,8.21,4,21792,1245,471500.0
Dubai Studio City,https://datadubai.ae/communities/dubai-studio-city/,8.01,3,1827,495,731805.0
DAMAC HILLS 2,https://datadubai.ae/communities/damac-hills-2/,7.98,2,423,109,1550000.0
Dubai Sports City,https://datadubai.ae/communities/dubai-sports-city/,7.78,4,8229,1226,946197.0
Motor City,https://datadubai.ae/communities/motor-city/,7.77,5,1897,933,1183674.0
Living Legends,https://datadubai.ae/communities/living-legends/,7.66,4,316,109,1225000.0
Jumeirah Islands,https://datadubai.ae/communities/jumeirah-islands/,7.64,1,97,16,2218828.0
Liwan1,https://datadubai.ae/communities/liwan1/,7.64,4,3186,482,889000.0
Dubai Land Residence Complex,https://datadubai.ae/communities/dubai-land-residence-complex/,7.61,3,7259,622,812843.0
Discovery Gardens,https://datadubai.ae/communities/discovery-gardens/,7.56,3,13385,1005,751092.0
Remraam,https://datadubai.ae/communities/remraam/,7.51,4,2142,297,780000.0
International City Phase 3,https://datadubai.ae/communities/international-city-phase-3/,7.47,3,9092,347,822018.0
Silicon Oasis,https://datadubai.ae/communities/silicon-oasis/,7.39,4,15376,1205,970000.0
Jumeirah Village Triangle,https://datadubai.ae/communities/jumeirah-village-triangle/,7.22,3,2489,457,1160483.0
Majan,https://datadubai.ae/communities/majan/,7.21,4,2839,931,750000.0
Wasl Gate,https://datadubai.ae/communities/wasl-gate/,7.18,1,227,34,1349000.0
Rukan,https://datadubai.ae/communities/rukan/,7.14,5,972,272,980000.0
Dubai Science Park,https://datadubai.ae/communities/dubai-science-park/,7.11,3,1228,178,1073664.0
Arjan,https://datadubai.ae/communities/arjan/,7.11,4,11076,1353,927130.0
Jumeirah Golf Estates,https://datadubai.ae/communities/jumeirah-golf-estates/,7.1,3,413,128,6338106.0
WARSAN FIRST DEVELOPMENT,https://datadubai.ae/communities/warsan-first-development/,7.01,2,928,47,566401.0
DAMAC HILLS,https://datadubai.ae/communities/damac-hills/,6.83,4,3039,510,1317560.0
Jumeirah Lakes Towers,https://datadubai.ae/communities/jumeirah-lakes-towers/,6.78,4,3131,421,1807498.5
DMCC Master Community,https://datadubai.ae/communities/dmcc-master-community/,6.62,4,4641,476,1633470.0
